Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Bollène La Croisière;Saint-Nom-la-Bretèche Forêt de Marly;87382481;78620;B;1308720;1308720;786156;786156;855984;855984;1338668;1338668;1361743;1361743;1390132;1390132;1389478;1389478;1426316;1426316;78
Bordeaux Saint-Jean;Saint-Ouen;87271247;93400;B;3120774;3120774;1599702;1599702;207533;207533;3778187;3778187;3826855;3826855;3935467;3935467;3949540;3949540;3942411;3942411;93
Bouchain;Savigny-sur-Orge;87545236;91600;B;6788452;6788452;5037439;5037439;3789578;3789578;8218456;8218456;8091982;8091982;7998447;7998447;7756128;7756128;7477288;7477288;91
Boucoiran-et-Nozières;Sevran Beaudottes;87271445;93270;B;7249470;7249470;4185252;4185252;4159740;4159740;8776328;8776328;8896630;8896630;8956744;8956744;8886322;8886322;8781293;8781293;93
Bougival;Stains La Cerisaie T11;87697334;93240;B;2022741;2022741;1620786;1620786;370977;370977;909932;909932;933122;933122;473547;473547;0;0;0;0;93
Boulogne Tintelleries;Tarascon-sur-Ariège;87611590;9400;C;75613;75613;49388;49388;26876;26876;49041;49041;41781;41781;52028;52028;47721;47721;49294;49294;94
Boulouris sur Mer;Thieux - Nantouillet;87272054;77230;C;33900;33900;33262;33262;13628;13628;25362;25362;22740;22740;25483;25483;22954;22954;20529;20529;77
Bouray;Vaires - Torcy;87116293;77360;B;1888489;1888489;1457710;1457710;892636;892636;2286419;2286419;2271942;2271942;2264107;2264107;2214025;2214025;2154317;2154317;77
Bourg-Saint-Maurice;Vanves - Malakoff;87391532;92170;B;1111472;1111472;868690;868690;662473;662473;1345635;1345635;1374446;1374446;1403674;1403674;1410456;1410456;1409674;1409674;92
Bournezeau;Vaucelles;87276626;95150;B;597564;597564;540145;540145;231976;231976;636093;636093;640196;640196;618343;618343;614590;614590;607360;607360;95
Boussens;Vaux-sur-Seine;87381814;78740;B;419617;419617;359744;359744;154770;154770;286181;286181;317047;317047;353446;353446;385904;385904;371139;371139;78
Boves;Verneuil-l'Étang;87116079;77390;B;551528;551528;494717;494717;273994;273994;667781;667781;658852;658852;656054;656054;638495;638495;621339;621339;77
Brest;Vernou-la-Celle-sur-Seine;87682468;77670;C;44792;44792;48917;48917;24154;24154;54224;54224;55009;55009;55764;55764;55725;55725;55281;55281;77
Breteil;Versailles Château Rive Gauche;87393157;78000;B;5795124;5795124;3310046;3310046;2886249;2886249;7015859;7015859;7520468;7520468;8009738;8009738;8367046;8367046;8748796;8748796;78
Brétigny-sur-Orge;Versailles Rive Droite;87382861;78000;B;5530365;5530365;4698156;4698156;2039014;2039014;5855418;5855418;5705373;5705373;5562438;5562438;5327810;5327810;5357929;5357929;78
Breuillet - Bruyères-le-Châtel;Viarmes;87276568;95270;B;272109;272109;245338;245338;109940;109940;284407;284407;279178;279178;270098;270098;267292;267292;264164;264164;95
Brignoud;Villetaneuse Université T11;87697318;93430;B;3902317;3902317;3126857;3126857;675432;675432;1840999;1840999;1872981;1872981;950582;950582;0;0;0;0;93
Bruges;Villiers - Neauphle - Pontchartrain;87393884;78640;B;754106;754106;599810;599810;314358;314358;915771;915771;885357;885357;870952;870952;831616;831616;790827;790827;78
Brunoy;Villiers-sur-Marne - Le Plessis-Trévise;87113795;94350;B;7700718;7700718;5653263;5653263;3664906;3664906;8146119;8146119;8276068;8276068;8434061;8434061;8426955;8426955;8383560;8383560;94
Buno - Gironville;Vitry-sur-Seine;87545293;94400;B;3770683;3770683;2037788;2037788;1535384;1535384;4565282;4565282;4630398;4630398;4695475;4695475;4676851;4676851;4636524;4636524;94
Byans-sur-Doubs;Vulaines-sur-Seine - Samoreau;87682443;77870;C;43479;43479;93951;93951;33356;33356;52885;52885;54449;54449;55824;55824;56647;56647;57163;57163;77
Caffiers;Yerres;87682112;91330;B;3738278;3738278;3059573;3059573;2173871;2173871;4525768;4525768;4349907;4349907;4207385;4207385;3990066;3990066;3764066;3764066;91
Cambo-les-Bains;Allée de la Tour Rendez-Vous;87113878;93320;B;857918;857918;687434;687434;940572;940572;630008;630008;651602;651602;673383;673383;683635;683635;690917;690917;93
Carentan;Arpajon;87545467;91290;B;1425412;1425412;1295988;1295988;812586;812586;1725668;1725668;1714853;1714853;1714359;1714359;1677901;1677901;1635441;1635441;91
Caudéran Mérignac;Athis-Mons;87545251;91200;B;1391516;1391516;1064434;1064434;570450;570450;1684717;1684717;1680397;1680397;1687816;1687816;1660228;1660228;1625618;1625618;91
Caussade;Aubergenville Élisabethville;87386730;78410;B;1580464;1580464;1266548;1266548;988132;988132;1900062;1900062;1801226;1801226;1723706;1723706;1612926;1612926;1502962;1502962;78
Cavignac;Avenue Foch;87381038;75016;B;1015827;1015827;645324;645324;634456;634456;1229815;1229815;1217132;1217132;1211248;1211248;1181387;1181387;1146187;1146187;75
Cazères;Bibliothèque François Mitterrand;87328328;75013;B;22986683;22986683;10119704;10119704;11758713;11758713;27828914;27828914;28137619;28137619;28540419;28540419;28385788;28385788;28099826;28099826;75
Cerbère;Boigneville;87684407;91720;C;29124;29124;36843;36843;17612;17612;35444;35444;39428;39428;44679;44679;48929;48929;53891;53891;91
Cergy Préfecture;Bois-le-Roi;87682203;77590;B;966054;966054;927606;927606;553575;553575;1169555;1169555;1208919;1208919;1249808;1249808;1268641;1268641;1287788;1287788;77
Cerizay;Bouffémont - Moisselles;87276485;95570;B;1043644;1043644;981994;981994;427733;427733;1064575;1064575;1078777;1078777;1036366;1036366;1000990;1000990;962706;962706;95
Cernay (Haut-Rhin);Boutigny-sur-Essonne;87681478;91820;B;144265;144265;151469;151469;91214;91214;174695;174695;183549;183549;193710;193710;200565;200565;206851;206851;91
Cesson-Sévigné;Breuillet Village;87545491;91650;B;564922;564922;608705;608705;344155;344155;683921;683921;672723;672723;665433;665433;644494;644494;621695;621695;91
Chambly;Bruyères-sur-Oise;87276451;95820;C;111426;111426;110345;110345;52202;52202;112059;112059;122599;122599;111374;111374;108183;108183;102976;102976;95
Chamborigaud;Cernay (Val-d'Oise);87276063;95120;B;2643784;2643784;2505968;2505968;1248094;1248094;2994643;2994643;3036288;3036288;3047339;3047339;3026905;3026905;2993023;2993023;95
Champ de Mars Tour Eiffel;Cesson;87682161;77240;B;1723793;1723793;1220134;1220134;826308;826308;2087642;2087642;2141123;2141123;2215556;2215556;2243095;2243095;2259694;2259694;77
Champagnole;Champagne-sur-Seine;87682450;77430;B;428217;428217;415355;415355;237145;237145;518423;518423;505753;505753;497079;497079;478155;478155;457828;457828;77
Champbenoist - Poigny;Chaville Rive Droite;87382333;92370;B;2352461;2352461;1996585;1996585;849953;849953;2409913;2409913;2355862;2355862;2314358;2314358;2233621;2233621;1907117;1907117;92
Château-Arnoux-Saint-Auban;Chaville Rive Gauche;87393207;92370;B;769094;769094;690862;690862;504285;504285;932646;932646;1000355;1000355;1067926;1067926;1123009;1123009;1180143;1180143;92
Châteaubriant Tram Train;Colombes;87381087;92700;B;5836138;5836138;5496540;5496540;2242945;2242945;6156786;6156786;6305152;6305152;6159813;6159813;5993177;5993177;6039242;6039242;92
Châteaulin;Conflans Fin d'Oise;87381459;78700;B;6673880;6673880;4522551;4522551;2651640;2651640;5226077;5226077;5328451;5328451;5463185;5463185;5490546;5490546;5483634;5483634;78
Châtelaillon-Plage;Conflans-Sainte-Honorine;87381897;78700;B;4070670;4070670;3693330;3693330;2347335;2347335;4834179;4834179;4779174;4779174;4748100;4748100;4624289;4624289;4442590;4442590;78
Chaugey;Cormeilles-en-Parisis;87381863;95240;B;3618254;3618254;3317416;3317416;1878474;1878474;3683266;3683266;3750496;3750496;3830848;3830848;3843422;3843422;3651596;3651596;95
Chaulnes;Coulommiers;87116301;77120;B;1167523;1167523;1077277;1077277;640283;640283;1413685;1413685;1307147;1307147;1212158;1212158;1101461;1101461;997635;997635;77
Chazay - Marcilly;Crouy-sur-Ourcq;87116640;77840;B;176703;176703;167305;167305;88925;88925;204707;204707;199897;199897;198756;198756;196972;196972;190715;190715;77
Chemilly - Appoigny;Dammartin - Juilly - Saint-Mard;87271536;77230;B;955503;955503;808825;808825;323608;323608;992824;992824;1027727;1027727;1002882;1002882;939476;939476;876390;876390;77
Chenevières;Égly;87545475;91520;B;422514;422514;399633;399633;240867;240867;511516;511516;507089;507089;507106;507106;495986;495986;483439;483439;91
Chèvremont;Ermont Halte;87276584;95120;B;937689;937689;857109;857109;426707;426707;1036432;1036432;1022305;1022305;959969;959969;939831;939831;914634;914634;95
Chirac;Esbly;87116327;77450;B;1931719;1931719;1615645;1615645;1069700;1069700;2338728;2338728;2311341;2311341;2296992;2296992;2236234;2236234;2166527;2166527;77
Clacy - Mons;Étréchy;87545145;91580;B;570676;570676;560909;560909;298309;298309;690936;690936;715653;715653;746860;746860;762887;762887;775908;775908;91
Clamecy;Fontaine-le-Port;87682427;77590;C;34558;34558;36204;36204;17924;17924;42287;42287;46433;46433;51024;51024;55030;55030;59224;59224;77
Clermont La Pardieu;Freinville Sevran;87113894;93270;B;1929737;1929737;1546264;1546264;1905264;1905264;1191070;1191070;1194722;1194722;1192432;1192432;1168850;1168850;1144456;1144456;93
